Sr. No.,Work Category,Work ID,Work Type,Work Description,State,IDA District,IDA Office,Hon'ble Members of Parliament,Constituency,Has Image,Completion Date,Amount Disbursed (INR)
10115,Normal/Others,WS/MP18222/2024-2025/165194,"Construction of roads, link roads, pathways or any other road with or without drainage system",Nahar pul se arvind maurya ka avas se pahle tak 200mtr RCC road nirman ka kary.,Uttar Pradesh,JAUNPUR,DISTRICT MAGISTRATE JAUNPUR,BABU SINGH KUSHWAHA,JAUNPUR,True,2025-07-11,1157878.0
10116,Normal/Others,WS/MP18162/2024-2025/147231,Construction of boundary walls of existing public and community buildings,"SARVJANIK SHAMSHAN HETU CHAR DIWARI NIRMAN VILL- ARNIYA KHALASA , GP- ARNIYA, P.S.- SAHARA",Rajasthan,BHILWARA,DISTRICT COLLECTOR BHILWARA,DAMODAR AGARWAL,BHILWARA,False,2025-12-24,492788.0
10117,Normal/Others,WS/MP18062/2025-2026/188086,Improvement of electricity distribution infrastructure,supply of new electric connection in dhani of Mahender son of Dewana of village Balak,Haryana,HISAR,DEPUTY COMMISSIONER HISSAR,JAI PARKASH,HISAR,False,2025-09-17,64644.0
10118,Normal/Others,WS/MP508/2025-2026/165177,"Construction of roads, link roads, pathways or any other road with or without drainage system",Providing CC Pavement in Mettupalayam road street at Malayanoor chakkadi,Tamil Nadu,TIRUVANNAMALAI,DISTRICT COLLECTOR TIRUVANNAMALAI,CN Annadurai,TIRUVANNAMALAI,True,2026-03-30,199795.0
10119,Normal/Others,WS/MP787/2024-2025/157731,Lighting of public spaces,Vidhansabha maharajpur ke antargat ward-41 3 d 125 hanuman mandir ke pas Highmast light ka Adhisthapan karya.,Uttar Pradesh,KANPUR NAGAR,DISTRICT MAGISTRAE KANPUR NAGAR,Devendra Alias Bhole Singh,AKBARPUR,False,2025-12-23,529477.0
10120,Normal/Others,WS/MP787/2024-2025/157732,Lighting of public spaces,Vidhansabha maharajpur ke antargat ward-41 rajendra puram society me Highmast light ka Adhisthapan karya.,Uttar Pradesh,KANPUR NAGAR,DISTRICT MAGISTRAE KANPUR NAGAR,Devendra Alias Bhole Singh,AKBARPUR,True,2025-12-23,529426.0
10121,Normal/Others,WS/MP787/2024-2025/157742,Lighting of public spaces,Vidhansabha maharajpur ke antargat ward-11 dharukhera me  Highmast light ka Adhisthapan karya.,Uttar Pradesh,KANPUR NAGAR,DISTRICT MAGISTRAE KANPUR NAGAR,Devendra Alias Bhole Singh,AKBARPUR,True,2025-12-23,529529.0
10122,Normal/Others,WS/MP787/2024-2025/157745,Lighting of public spaces,Vidhansabha maharajpur ke antargat ward-26 gandhi gram me Highmast light ka Adhisthapan karya.,Uttar Pradesh,KANPUR NAGAR,DISTRICT MAGISTRAE KANPUR NAGAR,Devendra Alias Bhole Singh,AKBARPUR,True,2025-12-23,529529.0
10123,Normal/Others,WS/MP787/2024-2025/157735,Lighting of public spaces,Vidhansabha maharajpur ke antargat ward-63 raghunath puram me Highmast light ka Adhisthapan karya.,Uttar Pradesh,KANPUR NAGAR,DISTRICT MAGISTRAE KANPUR NAGAR,Devendra Alias Bhole Singh,AKBARPUR,True,2026-01-20,529270.0
10124,Normal/Others,WS/MP787/2024-2025/157719,Lighting of public spaces,Vidhansabha maharajpur ke antargat vikas khand- sarsaul ke gram panchayat Therpah me Highmast light ka Adhisthapan karya.,Uttar Pradesh,KANPUR NAGAR,DISTRICT MAGISTRAE KANPUR NAGAR,Devendra Alias Bhole Singh,AKBARPUR,True,2025-12-23,524915.0
10125,Normal/Others,WS/MP423/2024-2025/137563,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of CC Road with Pilling from H/O Kutub Shah to H/O Mashem Laskar at Mohanpur. (115.33 mtr.),West Bengal,South 24 Parganas,DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS,Shri Abhishek Banerjee,DIAMOND HARBOUR,True,2025-07-10,339238.0
10126,Normal/Others,WS/MP18062/2025-2026/191300,Improvement of electricity distribution infrastructure,New electric connection in dhani of rinki sharma wife ramesh kumar dev nagar mandi adampur of village Mandi adampur,Haryana,HISAR,DEPUTY COMMISSIONER HISSAR,JAI PARKASH,HISAR,False,2025-10-06,19966.0
10127,Normal/Others,WS/MP787/2024-2025/157710,Lighting of public spaces,Vidhansabha maharajpur ke antargat vikas khand- sarsaul ke gram panchayat sarsaul me Highmast light ka Adhisthapan karya.,Uttar Pradesh,KANPUR NAGAR,DISTRICT MAGISTRAE KANPUR NAGAR,Devendra Alias Bhole Singh,AKBARPUR,True,2025-12-23,524656.0
10128,Normal/Others,WS/MP18062/2025-2026/168144,Improvement of electricity distribution infrastructure,providing of pcc poles and lt cableto extend line from mahesh nagar feeder at kaimari road near mahender godara of satrod sub div,Haryana,HISAR,DEPUTY COMMISSIONER HISSAR,JAI PARKASH,HISAR,False,2025-09-09,80185.0
10129,Normal/Others,WS/MP787/2024-2025/157711,Lighting of public spaces,Vidhansabha maharajpur ke antargat vikas khand- sarsaul ke gram panchayat tikarkanh me Highmast light ka Adhisthapan karya.,Uttar Pradesh,KANPUR NAGAR,DISTRICT MAGISTRAE KANPUR NAGAR,Devendra Alias Bhole Singh,AKBARPUR,False,2025-12-23,524707.0
10130,Normal/Others,WS/MP787/2024-2025/157741,Lighting of public spaces,Vidhansabha maharajpur ke antargat ward-82 jarauli me Fattepur mandir ke pas highmast light ka Adhisthapan karya.,Uttar Pradesh,KANPUR NAGAR,DISTRICT MAGISTRAE KANPUR NAGAR,Devendra Alias Bhole Singh,AKBARPUR,True,2026-01-20,528232.0
10131,Normal/Others,WS/MP787/2024-2025/157740,Lighting of public spaces,Vidhansabha maharajpur ke antargat ward-63 baba pataleshwar mahadev mandir ke pas gangapurme Highmast light ka Adhisthapan karya.,Uttar Pradesh,KANPUR NAGAR,DISTRICT MAGISTRAE KANPUR NAGAR,Devendra Alias Bhole Singh,AKBARPUR,True,2025-12-23,528180.0
10132,Normal/Others,WS/MP787/2024-2025/157736,Lighting of public spaces,Vidhansabha maharajpur ke antargat ward-63 gangapuram me Highmast light ka Adhisthapan karya.,Uttar Pradesh,KANPUR NAGAR,DISTRICT MAGISTRAE KANPUR NAGAR,Devendra Alias Bhole Singh,AKBARPUR,True,2025-12-23,528076.0
