Sr. No.,Work Category,Work ID,Work Type,Work Description,State,IDA District,IDA Office,Hon'ble Members of Parliament,Constituency,Has Image,Completion Date,Amount Disbursed (INR)
1589,Normal/Others,WS/MP18153/2024-2025/141974,Installing community drinking water plants,Installtion of RO System at Govt. Primary School Rukna Begu ( Capacity 500 Ltrs),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-01-23,232415.0
1590,Normal/Others,WS/MP18153/2024-2025/141976,Installing community drinking water plants,Installtion of RO System at Govt. Primary School Sulhani ( Capacity 500 Ltrs),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-01-07,232415.0
1591,Normal/Others,WS/MP18153/2024-2025/141994,Installing community drinking water plants,Installtion of RO System at Govt. Primary School Mehal Singh Wala ( Capacity 500 Ltrs),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-01-07,232650.0
1592,Normal/Others,WS/MP18153/2024-2025/141977,Installing community drinking water plants,Installtion of RO System at Govt. Primary School Mahalam ( Capacity 500 Ltrs),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-01-07,232650.0
1593,Normal/Others,WS/MP429/2024-2025/157838,Renovation of ponds and lakes,"Pachri construction at Gram Panchayat - Chepa near Daumuda, Vikas Khand - Pali",Chhattisgarh,KORBA,Collector-Korba,Jyotsna Charandas Mahant,KORBA,True,2025-06-04,300000.0
1594,Normal/Others,WS/MP18153/2024-2025/141978,Installing community drinking water plants,Installtion of RO System at Govt. Sen. Sec. School Lakha Hazi ( Capacity 500 Ltrs),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-01-07,232885.0
1595,Normal/Others,WS/MP18153/2024-2025/141981,Installing community drinking water plants,Installtion of RO System at Govt. Primary School Saran Wali ( Capacity 500 Ltrs),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-01-23,232368.0
1596,Normal/Others,WS/MP18153/2024-2025/141983,Installing community drinking water plants,Installtion of RO System at Govt. Primary School Ghall Khurd ( Capacity 500 Ltrs),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-01-07,233002.0
1597,Normal/Others,WS/MP18153/2024-2025/141985,Installing community drinking water plants,Installtion of RO System at Govt. Primary Smart School Yare Shah Wala  ( Capacity 500 Ltrs),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-01-07,232532.0
1598,Normal/Others,WS/MP18153/2024-2025/141988,Installing community drinking water plants,Installtion of RO System at Govt. Primary School kaku Wala ( Capacity 500 Ltrs),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-01-07,232650.0
1599,Normal/Others,WS/MP18153/2024-2025/141990,Installing community drinking water plants,Installtion of RO System at Govt. Primary School Chugate Wala ( Capacity 500 Ltrs),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-01-07,232532.0
1600,Normal/Others,WS/MP18153/2024-2025/141993,Installing community drinking water plants,Installtion of RO System at Govt. Primary School Piyareana ( Capacity 500 Ltrs),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-01-07,232767.0
1601,Normal/Others,WS/MP18153/2024-2025/141996,Installing community drinking water plants,Installtion of RO System at Govt. Elementary School Wan ( Capacity 500 Ltrs),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-01-07,232532.0
1602,Normal/Others,WS/MP18153/2024-2025/141986,Installing community drinking water plants,Installtion of RO System at Govt. Primary School Changali Qudim ( Capacity 500 Ltrs),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-01-23,233002.0
1603,Normal/Others,WS/MP18153/2024-2025/141992,Installing community drinking water plants,Installtion of RO System at Govt. High smart School Piyareana ( Capacity 500 Ltrs),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-01-23,232650.0
1604,Normal/Others,WS/MP18153/2024-2025/141989,Installing community drinking water plants,Installtion of RO System at Govt. Middle School Jodhpur( Capacity 500 Ltrs),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-02-05,232297.0
1605,Normal/Others,WS/MP18153/2024-2025/141987,Installing community drinking water plants,Installtion of RO System at Govt. Primary School Mohkam Khan Wala ( Capacity 500 Ltrs),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-01-23,233002.0
1606,Normal/Others,WS/MP18153/2024-2025/141984,Installing community drinking water plants,Installtion of RO System at Govt. Primary Smart School Gandu Kilcha Uttar ( Capacity 500 Ltrs),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-01-07,232650.0
1607,Normal/Others,WS/MP18153/2024-2025/141982,Installing community drinking water plants,Installtion of RO System at Govt. Primary School Game wala ( Capacity 500 Ltrs),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-01-23,232885.0
1608,Normal/Others,WS/MP18153/2024-2025/141980,Installing community drinking water plants,Installtion of RO System at Govt. Primary School Kada Bora ( Capacity 500 Ltrs),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-01-23,232415.0
1609,Normal/Others,WS/MP18153/2024-2025/141979,Installing community drinking water plants,Installtion of RO System at Govt. High School Rahime Ke Uttar ( Capacity 500 Ltrs),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-01-07,232532.0
1610,Normal/Others,WS/MP18153/2024-2025/141971,Purchase of mobile water tankers,Purchase of Mobile Water Tanker at Village jamit Pur Dheru (capacity 3000 Ltrs.),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-04-04,240934.0
1611,Normal/Others,WS/MP18153/2024-2025/141972,Purchase of mobile water tankers,Purchase of Mobile Water Tanker at Village Fattu Wala (capacity 3000 Ltrs.),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-04-04,238099.0
1612,Normal/Others,WS/MP18153/2024-2025/141973,Purchase of mobile water tankers,Purchase of Mobile Water Tanker at Village Bur Wala (capacity 3000 Ltrs.),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-04-04,240570.0
1613,Normal/Others,WS/MP18153/2024-2025/141995,Installing community drinking water plants,Installtion of RO System at Govt. High School Mishri Wala ( Capacity 500 Ltrs),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-01-07,232650.0
1614,Normal/Others,WS/MP18153/2024-2025/141991,Installing community drinking water plants,Installtion of RO System at Govt. Primary School Takhtu Wala ( Capacity 500 Ltrs),Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-02-28,232885.0
1615,Normal/Others,WS/MP18102/2024-2025/152114,Purchase of mobile water tankers,GI cotted water tank 5500 liter 900*20 tyres,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1616,Normal/Others,WS/MP18102/2024-2025/152112,Purchase of mobile water tankers,GI cotted water tank 5500 liter 900*20 tyres,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1617,Normal/Others,WS/MP18102/2024-2025/152111,Purchase of mobile water tankers,GI cotted water tank 5500 liter 900*20 tyres,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1618,Normal/Others,WS/MP18102/2024-2025/152109,Purchase of mobile water tankers,GI cotted water tank 5500 liter 900*20 tyres,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1619,Normal/Others,WS/MP18102/2024-2025/152108,Purchase of mobile water tankers,GI cotted water tank 5500 liter 900*20 tyres,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1620,Normal/Others,WS/MP18102/2024-2025/152107,Purchase of mobile water tankers,GI cotted water tank 5500 liter 900*20 tyres,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1621,Normal/Others,WS/MP18102/2024-2025/152105,Purchase of mobile water tankers,GI cotted water tank 5500 liter 900*20 tyres,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1622,Normal/Others,WS/MP18102/2024-2025/152104,Purchase of mobile water tankers,GI cotted water tank 5500 liter 900*20 tyres,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1623,Normal/Others,WS/MP18102/2024-2025/152115,Purchase of mobile water tankers,GI cotted water tank 5500 liter 900*20 tyres,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1624,Normal/Others,WS/MP18102/2024-2025/152116,Purchase of mobile water tankers,GI cotted water tank 5500 liter 900*20 tyres,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1625,Normal/Others,WS/MP18102/2024-2025/152118,Purchase of mobile water tankers,GI cotted water tank 5500 liter 900*20 tyres,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1626,Normal/Others,WS/MP18102/2024-2025/152119,Purchase of mobile water tankers,GI cotted water tank 5500 liter 900*20 tyres,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1627,Normal/Others,WS/MP18102/2024-2025/152121,Purchase of mobile water tankers,GI cotted water tank 5500 liter 900*20 tyres,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1628,Normal/Others,WS/MP18102/2024-2025/152122,Purchase of mobile water tankers,GI cotted water tank 5500 liter 900*20 tyres,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1629,Normal/Others,WS/MP18102/2024-2025/153258,Purchase of mobile water tankers,GI cotted water tank 5500 liter 900*20 tyre,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1630,Normal/Others,WS/MP18102/2024-2025/153260,Purchase of mobile water tankers,water tank 5500 liter  900*20 tyre,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1631,Normal/Others,WS/MP18102/2024-2025/153263,Purchase of mobile water tankers,water tank 5500 liter  900*20 tyre,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1632,Normal/Others,WS/MP18102/2024-2025/153264,Purchase of mobile water tankers,water tank 5500 liter  900*20 tyre,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1633,Normal/Others,WS/MP18102/2024-2025/153266,Purchase of mobile water tankers,water tank 5500 liter  900*20 tyre,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1634,Normal/Others,WS/MP18102/2024-2025/153267,Purchase of mobile water tankers,water tank 5500 liter  900*20 tyre,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1635,Normal/Others,WS/MP18102/2024-2025/153269,Purchase of mobile water tankers,water tank 5500 liter  900*20 tyre,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1636,Normal/Others,WS/MP18102/2024-2025/153271,Purchase of mobile water tankers,water tank 5500 liter  900*20 tyre,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1637,Normal/Others,WS/MP18102/2024-2025/153273,Purchase of mobile water tankers,water tank 5500 liter  900*20 tyre,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1638,Normal/Others,WS/MP18102/2024-2025/153274,Purchase of mobile water tankers,water tank 5500 liter  900*20 tyre,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1639,Normal/Others,WS/MP18102/2024-2025/153275,Purchase of mobile water tankers,water tank 5500 liter  900*20 tyre,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1640,Normal/Others,WS/MP18102/2024-2025/153278,Purchase of mobile water tankers,water tank 5500 liter  900*20 tyre,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1641,Normal/Others,WS/MP18102/2024-2025/153279,Purchase of mobile water tankers,water tank 5500 liter  900*20 tyre,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1642,Normal/Others,WS/MP18102/2024-2025/153280,Purchase of mobile water tankers,water tank 5500 liter  900*20 tyre,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1643,Normal/Others,WS/MP18102/2024-2025/153281,Purchase of mobile water tankers,water tank 5500 liter  900*20 tyre,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1644,Normal/Others,WS/MP18102/2024-2025/153282,Purchase of mobile water tankers,water tank 5500 liter  900*20 tyre,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1645,Normal/Others,WS/MP18102/2024-2025/153283,Purchase of mobile water tankers,water tank 5500 liter  900*20 tyre,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1646,Normal/Others,WS/MP18102/2024-2025/153284,Purchase of mobile water tankers,water tank 5500 liter  900*20 tyre,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1647,Normal/Others,WS/MP18102/2024-2025/153285,Purchase of mobile water tankers,water tank 5500 liter  900*20 tyre,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1648,Normal/Others,WS/MP18102/2024-2025/153286,Purchase of mobile water tankers,water tank 5500 liter  900*20 tyre,Madhya Pradesh,DHAR,DISTRICT COLLECTOR DHAR,SAVITRI THAKUR,DHAR(ST),True,2025-08-05,166026.0
1649,Repair and Renovation,WS/MP18048/2024-2025/145569,Construction of rooms and halls in school and colleges,chhindgarh higher secondary school bhavan marammat karya,Chhattisgarh,SUKMA,Collector Sukma,MAHESH KASHYAP,BASTAR(ST),True,2026-01-22,483119.0
1650,Normal/Others,WS/MP18357/2024-2025/151501,"Construction of roads, link roads, pathways or any other road with or without drainage system",,Madhya Pradesh,ASHOKNAGAR,DISTRICT COLLECTOR ASHOKNAGAR,JYOTIRADITYA M. SCINDIA,GUNA,True,2026-03-31,995000.0
1651,Normal/Others,WS/MP620/2024-2025/162267,Construction of buildings for community cultural activities,Culture Bhavan Slab work at Shiggaon TQ Panigatti Village near Shri Gramdevi Temple Pry No 115 & 116,Karnataka,HAVERI,DEPUTY COMMISSIONER HAVERI,Pralhad Venkatesh Joshi,DHARWAD,False,2025-09-17,495662.0
1652,Normal/Others,WS/MP620/2024-2025/162265,Construction of buildings for community cultural activities,Culture Bhavan Plinth work at Shiggaon TQ Panigatti Village near Shri Gramdevi Temple Pry No 115 & 116,Karnataka,HAVERI,DEPUTY COMMISSIONER HAVERI,Pralhad Venkatesh Joshi,DHARWAD,False,2025-09-17,495745.0
1653,Normal/Others,WS/MP641/2024-2025/138916,Purchase of hospital equipment,Purchase of hospital equipment Dead Body Freezer,Madhya Pradesh,BARWANI,DISTRICT COLLECTOR BADWANI,Gajendra Singh Patel,KHARGONE(ST),False,2026-01-22,236003.0
1654,Normal/Others,WS/MP641/2024-2025/138918,Purchase of hospital equipment,Purchase of hospital equipment Dead body freezer,Madhya Pradesh,BARWANI,DISTRICT COLLECTOR BADWANI,Gajendra Singh Patel,KHARGONE(ST),False,2025-03-18,236003.0
1655,Normal/Others,WS/MP641/2024-2025/138924,Purchase of hospital equipment,Purchase of hospital equipment Dead Body Freezer,Madhya Pradesh,BARWANI,DISTRICT COLLECTOR BADWANI,Gajendra Singh Patel,KHARGONE(ST),False,2026-01-22,236003.0
1656,Normal/Others,WS/MP641/2024-2025/138921,Purchase of hospital equipment,Purchase of hospital equipment Dead Body Freezer,Madhya Pradesh,BARWANI,DISTRICT COLLECTOR BADWANI,Gajendra Singh Patel,KHARGONE(ST),False,2026-01-22,236003.0
1657,Normal/Others,WS/MP641/2024-2025/138920,Purchase of hospital equipment,Purchase of hospital equipment Dead Body Freezer,Madhya Pradesh,BARWANI,DISTRICT COLLECTOR BADWANI,Gajendra Singh Patel,KHARGONE(ST),False,2026-01-22,236003.0
1658,Normal/Others,WS/MP641/2024-2025/138932,Purchase of hospital equipment,Purchase of hospital equipment Dead Body Freezer,Madhya Pradesh,BARWANI,DISTRICT COLLECTOR BADWANI,Gajendra Singh Patel,KHARGONE(ST),False,2026-01-22,236003.0
1659,Normal/Others,WS/MP641/2024-2025/138919,Purchase of hospital equipment,Purchase of hospital equipment Dead Body Freezer,Madhya Pradesh,BARWANI,DISTRICT COLLECTOR BADWANI,Gajendra Singh Patel,KHARGONE(ST),False,2026-01-22,236003.0
1660,Normal/Others,WS/MP641/2024-2025/138934,Purchase of hospital equipment,Purchase of hospital equipment Dead Body Freezer,Madhya Pradesh,BARWANI,DISTRICT COLLECTOR BADWANI,Gajendra Singh Patel,KHARGONE(ST),False,2026-01-22,236003.0
1661,Normal/Others,WS/MP641/2024-2025/138935,Purchase of hospital equipment,Purchase of hospital equipment Dead Body Freezer,Madhya Pradesh,BARWANI,DISTRICT COLLECTOR BADWANI,Gajendra Singh Patel,KHARGONE(ST),False,2026-01-22,236003.0
1662,Normal/Others,WS/MP641/2024-2025/138936,Purchase of hospital equipment,Purchase of hospital equipment Dead Body Freezer,Madhya Pradesh,BARWANI,DISTRICT COLLECTOR BADWANI,Gajendra Singh Patel,KHARGONE(ST),False,2026-01-22,236003.0
1663,Normal/Others,WS/MP18069/2024-2025/154982,Construction of water tanks,"Construction of Water Tank, saptic Tank & sokpit in public ground ward no. 3 Gankhetar",Himachal Pradesh,KANGRA,DEPUTY COMMISSIONER KANGRA,RAJEEV BHARDWAJ,KANGRA,False,2025-01-17,500000.0
1664,Normal/Others,WS/MP18069/2024-2025/154934,Construction of boundary walls of existing public and community buildings,Boundary wall in brick masonary public ground village  Gankhetar,Himachal Pradesh,KANGRA,DEPUTY COMMISSIONER KANGRA,RAJEEV BHARDWAJ,KANGRA,False,2025-01-17,500000.0
1665,Normal/Others,WS/MP18336/2024-2025/158159,"Construction of roads, link roads, pathways or any other road with or without drainage system","C.C. ROAD NIRMAN, GRAM PANCHYAT - DONDEKALAN, BLOCK - DHARSIWA, DISTRICT - RAIPUR",Chhattisgarh,RAIPUR,DISTRICT COLLECTOR RAIPUR,BRIJMOHAN AGRAWAL,RAIPUR,True,2025-10-06,986792.0
1666,Normal/Others,WS/MP18335/2024-2025/152926,"Construction of roads, link roads, pathways or any other road with or without drainage system",CC road construction work,Chhattisgarh,Sarangarh-Bilaigarh,Collector SB,RADHE SHYAM RATHIYA,RAIGARH(ST),False,2025-04-25,1498318.0
1667,Normal/Others,WS/MP18335/2024-2025/152929,"Construction of roads, link roads, pathways or any other road with or without drainage system",CC road Construction work,Chhattisgarh,Sarangarh-Bilaigarh,Collector SB,RADHE SHYAM RATHIYA,RAIGARH(ST),False,2025-09-28,798791.0
1668,Normal/Others,WS/MP18335/2024-2025/152959,"Construction of roads, link roads, pathways or any other road with or without drainage system",CC road construction Work,Chhattisgarh,Sarangarh-Bilaigarh,Collector SB,RADHE SHYAM RATHIYA,RAIGARH(ST),False,2026-01-21,549814.0
1669,Normal/Others,WS/MP18161/2024-2025/141091,"Construction of roads, link roads, pathways or any other road with or without drainage system",naveen panchayat bhawan barauli chhar ke parishar me interlocking karya gram barauli chhar work agency gp barauli chhar,Rajasthan,BHARATPUR,DISTRICT COLLECTOR BHARATPUR,SANJNA JATAV,BHARATPUR(SC),True,2025-03-03,498834.0
1670,Normal/Others,WS/MP18051/2024-2025/155914,"Construction of roads, link roads, pathways or any other road with or without drainage system",GRAM PURAIN ME MUKHY MARG SE BASTI TAK C.C. ROAD NIRMAN KARYA,Chhattisgarh,GARIYABAND,Collectro Gariaband,ROOP KUMARI CHOUDHARY,MAHASAMUND,False,2025-07-07,400000.0
1671,Normal/Others,WS/MP429/2024-2025/157839,Construction of common work sheds/ common covered sitting area,"Shed construction at Samudayik Bhawan in front of Bijlee office, Gram Panchayat - Kerajhariya, Vikas Khand - Pali",Chhattisgarh,KORBA,Collector-Korba,Jyotsna Charandas Mahant,KORBA,True,2025-07-01,599798.0
1672,Normal/Others,WS/MP18108/2024-2025/151874,"Construction of roads, link roads, pathways or any other road with or without drainage system",Gram Panchayat Semrahat Me Devi Mata Mandir Se Samshan Ghat Ki our C.C. Road Nirman Karya Hetu.,Madhya Pradesh,SAGAR,DISTRICT COLLECTOR SAGAR,DR. LATA WANKHEDE,SAGAR,True,2025-10-17,700000.0
1673,Normal/Others,WS/MP18051/2024-2025/155920,"Construction of roads, link roads, pathways or any other road with or without drainage system",C.C. ROAD NIRMAN KARYA,Chhattisgarh,GARIYABAND,Collectro Gariaband,ROOP KUMARI CHOUDHARY,MAHASAMUND,False,2026-01-13,300000.0
1674,Normal/Others,WS/MP18106/2024-2025/142103,Construction of culverts and bridges,"GRAM PANCHAYAT LADPURA, JANPAD PANCHAYAT VIJAYPUR, COLLAGE WALE RASTE PER",Madhya Pradesh,SHEOPUR,District Collector Sheopur,SHIVMANGAL SINGH TOMAR,MORENA,True,2025-06-06,800000.0
1675,Normal/Others,WS/MP18106/2024-2025/142099,Construction of culverts and bridges,"GRAM MLAPURA, GRAM PANCHYAT IKLAUD, JANPAD PANCHAYAT VIJAYPUR BHAGWANT KE KHET KE PASS",Madhya Pradesh,SHEOPUR,District Collector Sheopur,SHIVMANGAL SINGH TOMAR,MORENA,True,2025-06-03,800000.0
1676,Normal/Others,WS/MP18106/2024-2025/142119,"Construction of roads, link roads, pathways or any other road with or without drainage system","gram panchayat parwati baroda, janpad vijaypur, dhoret mandir se manfool kushwah ke makan tak",Madhya Pradesh,SHEOPUR,District Collector Sheopur,SHIVMANGAL SINGH TOMAR,MORENA,True,2025-06-06,800000.0
1677,Normal/Others,WS/MP18106/2024-2025/142125,"Construction of roads, link roads, pathways or any other road with or without drainage system","gram panchayat dehari, janpad panchayat vijaypur, gram ladar mai aadivasi basti mai",Madhya Pradesh,SHEOPUR,District Collector Sheopur,SHIVMANGAL SINGH TOMAR,MORENA,True,2025-06-06,800000.0
1678,Normal/Others,WS/MP529/2024-2025/136495,Providing supply pipelines for drinking water,Providing RO Plant Machinery at Dr. B.R.Ambedkar Grukulam at Naidupeta in Naidupeta Mandal.,Andhra Pradesh,Tirupati,DISTRICT COLLECTOR TIRUPATI,Maddila Gurumoorthy,TIRUPATI(SC),True,2025-01-02,300000.0
1679,Normal/Others,WS/MP18335/2024-2025/150805,Construction of community centers and community halls,Construction of Community building,Chhattisgarh,Sarangarh-Bilaigarh,Collector SB,RADHE SHYAM RATHIYA,RAIGARH(ST),True,2025-09-19,485546.0
1680,Normal/Others,WS/MP18335/2024-2025/150815,Construction of culverts and bridges,Construction of Culvert,Chhattisgarh,Sarangarh-Bilaigarh,Collector SB,RADHE SHYAM RATHIYA,RAIGARH(ST),False,2025-12-12,499580.0
1681,Normal/Others,WS/MP18335/2024-2025/150814,Construction of community centers and community halls,Construction Of Cultural stage,Chhattisgarh,Sarangarh-Bilaigarh,Collector SB,RADHE SHYAM RATHIYA,RAIGARH(ST),False,2025-12-12,299592.0
1682,Normal/Others,WS/MP18335/2024-2025/150811,"Construction of roads, link roads, pathways or any other road with or without drainage system",concretization work of Floor,Chhattisgarh,Sarangarh-Bilaigarh,Collector SB,RADHE SHYAM RATHIYA,RAIGARH(ST),False,2025-07-30,799753.0
1683,Normal/Others,WS/MP18335/2024-2025/150809,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction Of CC road,Chhattisgarh,Sarangarh-Bilaigarh,Collector SB,RADHE SHYAM RATHIYA,RAIGARH(ST),False,2025-02-08,999896.0
1684,Normal/Others,WS/MP18335/2024-2025/150808,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction Of CC road,Chhattisgarh,Sarangarh-Bilaigarh,Collector SB,RADHE SHYAM RATHIYA,RAIGARH(ST),False,2025-09-19,797024.0
1685,Normal/Others,WS/MP18335/2024-2025/152960,"Construction of roads, link roads, pathways or any other road with or without drainage system",CC road Construction Work,Chhattisgarh,Sarangarh-Bilaigarh,Collector SB,RADHE SHYAM RATHIYA,RAIGARH(ST),False,2025-08-01,693583.0
1686,Normal/Others,WS/MP18335/2024-2025/152958,"Construction of roads, link roads, pathways or any other road with or without drainage system",CC road Construction Work,Chhattisgarh,Sarangarh-Bilaigarh,Collector SB,RADHE SHYAM RATHIYA,RAIGARH(ST),False,2025-12-06,549982.0
1687,Normal/Others,WS/MP18335/2024-2025/152936,Construction of culverts and bridges,Construction Of Culvert(bridge),Chhattisgarh,Sarangarh-Bilaigarh,Collector SB,RADHE SHYAM RATHIYA,RAIGARH(ST),False,2025-06-16,798959.0
