Sr. No.,Work Type,Work ID,State,IDA District,IDA Office,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount (INR)
31343,Construction of buildings for community cultural activities,WS/MP18311/2024-2025/164322,Punjab,RUPNAGAR,DEPUTY COMMISSIONER ROOPNAGAR,MALVINDER SINGH KANG,ANANDPUR SAHIB,2025-08-19,MANOJ KUMAR YADAV,Payment Success,144320.0
31344,Installing tube-wells and borewells,WS/MP18257/2025-2026/183352,West Bengal,Purba Medinipur,DISTRICT MAGISTRATE PURBA MEDINIPUR,ABHIJIT GANGOPADHYAY,TAMLUK,2025-08-14,P G ENTERPRISE,Payment Success,154668.0
31345,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18056/2025-2026/166331,Gujarat,RAJKOT,DISTRICT COLLECTOR RAJKOT,PARSHOTTAMBHAI RUPALA,RAJKOT,2025-08-21,mota mandva gram panchayat,Payment Success,500000.0
31346,Construction of buildings for community cultural activities,WS/MP429/2025-2026/198910,Chhattisgarh,Gaurela-Pendra-Marwahi,Collector GPM,Jyotsna Charandas Mahant,KORBA,2025-09-01,SARPANCH SACHIV GRAM PANCHAYAT MANOURA,Payment Success,140000.0
31347,Construction of buildings for community cultural activities,WS/MP429/2025-2026/198910,Chhattisgarh,Gaurela-Pendra-Marwahi,Collector GPM,Jyotsna Charandas Mahant,KORBA,2026-01-22,SARPANCH SACHIV GRAM PANCHAYAT MANOURA,Payment Success,210000.0
31348,Construction of community centers and community halls,WS/MP568/2025-2026/215810,Chhattisgarh,DURG,DISTRICT COLLECTOR DURG,Vijay Baghel,DURG,2026-05-20,SARPANCH GRAM PANCHAYAT DARGAON,Payment Success,500000.0
31349,Construction of community centers and community halls,WS/MP568/2025-2026/215810,Chhattisgarh,DURG,DISTRICT COLLECTOR DURG,Vijay Baghel,DURG,2025-08-21,SARPANCH GRAM PANCHAYAT DARGAON,Payment Success,500000.0
31350,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18166/2024-2025/180800,Rajasthan,JALORE,DISTRICT COLLECTOR JALORE,LUMBARAM,JALORE,2025-08-18,KISHAN LAL,Payment Success,34272.0
31351,Purchase of vans and buses for educational institutions,WS/MP348/2024-2025/156571,Kerala,THRISSUR,DISTRICT COLLECTOR THRISSUR,Shri Benny Behanan,CHALAKUDY,2025-08-16,HM SNDPHSS PALISSERY,Payment Success,65539.0
31352,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP568/2025-2026/215562,Chhattisgarh,DURG,DISTRICT COLLECTOR DURG,Vijay Baghel,DURG,2025-08-14,SARPANCH GRAM PANCHAYAT DOMA,Payment Success,350000.0
