Sr. No.,Work Type,Work ID,State,IDA District,IDA Office,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount (INR)
19906,Providing garbage collection and disposal systems,WS/MP428/2025-2026/249275,Chhattisgarh,RAJNANDGAON,DISTRICT COLLECTOR RAJNANDGAON,Santosh Pandey,RAJNANDGAON,2025-12-05,GRAM PANCHAYAT PANDRAPANI,Payment Success,225000.0
19907,Providing garbage collection and disposal systems,WS/MP428/2025-2026/249275,Chhattisgarh,RAJNANDGAON,DISTRICT COLLECTOR RAJNANDGAON,Santosh Pandey,RAJNANDGAON,2026-06-20,GRAM PANCHAYAT PANDRAPANI,Payment Success,225000.0
19908,Construction of community centers and community halls,WS/MP18101/2025-2026/244424,Madhya Pradesh,SAGAR,DISTRICT COLLECTOR SAGAR,RAHUL SINGH LODHI,DAMOH,2026-04-10,Gram Panchayat Silari,Payment Success,124125.0
19909,Construction of community centers and community halls,WS/MP18101/2025-2026/244424,Madhya Pradesh,SAGAR,DISTRICT COLLECTOR SAGAR,RAHUL SINGH LODHI,DAMOH,2025-12-30,Gram Panchayat Silari,Payment Success,375000.0
19910,Construction of buildings for community cultural activities,WS/MP18101/2025-2026/244421,Madhya Pradesh,SAGAR,DISTRICT COLLECTOR SAGAR,RAHUL SINGH LODHI,DAMOH,2025-12-30,Gram Panchayat Janakur,Payment Success,225000.0
19911,Providing garbage collection and disposal systems,WS/MP428/2025-2026/249277,Chhattisgarh,RAJNANDGAON,DISTRICT COLLECTOR RAJNANDGAON,Santosh Pandey,RAJNANDGAON,2025-12-05,GRAM PANCHAYAT CHARBHATA KU,Payment Success,75000.0
19912,Providing garbage collection and disposal systems,WS/MP428/2025-2026/249277,Chhattisgarh,RAJNANDGAON,DISTRICT COLLECTOR RAJNANDGAON,Santosh Pandey,RAJNANDGAON,2026-06-20,GRAM PANCHAYAT CHARBHATA KU,Payment Success,74999.0
19913,Purchase of immovable sports equipment,WS/MP18372/2025-2026/249883,Rajasthan,JAIPUR,DISTRICT COLLECTOR JAIPUR,Rao Rajendra Singh,JAIPUR RURAL,2025-12-05,Govind Sports,Payment Success,499785.0
19914,"Providing sports equipment, except consumable items",WS/MP18372/2025-2026/255093,Rajasthan,JAIPUR,DISTRICT COLLECTOR JAIPUR,Rao Rajendra Singh,JAIPUR RURAL,2025-12-26,Govind Sports,Payment Success,997776.0
19915,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP681/2024-2025/143809,Maharashtra,PARBHANI,DISTRICT COLLECTOR PARBHANI,Sanjay Haribhau Jadhav,PARBHANI,2025-12-14,SHIVKRUPA CONSTRUCTION PROP ADESH HANUMANT MUSTAPURE,Payment Success,999464.0
19916,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18326/2025-2026/238329,Gujarat,BOTAD,District collector Botad,CHANDUBHAI CHHAGANBHAI SHIHORA,SURENDRANAGAR,2025-12-07,SARPANCHSHREE GRAM PANCHAYAT GODHAVATA,Payment Success,199953.0
19917,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP716/2025-2026/226781,Punjab,SRI MUKTSAR SAHIB,DEPUTY COMMISSIONER SRI MUKTSAR SAHIB,Smt Harsimrat Kaur Badal,BHATINDA,2025-12-10,Gurmel singh,Payment Success,41760.0
19918,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP716/2025-2026/226781,Punjab,SRI MUKTSAR SAHIB,DEPUTY COMMISSIONER SRI MUKTSAR SAHIB,Smt Harsimrat Kaur Badal,BHATINDA,2026-02-05,Gurmel singh,Payment Success,45400.0
19919,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP716/2025-2026/226781,Punjab,SRI MUKTSAR SAHIB,DEPUTY COMMISSIONER SRI MUKTSAR SAHIB,Smt Harsimrat Kaur Badal,BHATINDA,2026-08-11,Gurmel singh,Payment Success,17000.0
19920,Construction of additional rooms and halls in the existing public and community building,WS/MP716/2025-2026/226782,Punjab,SRI MUKTSAR SAHIB,DEPUTY COMMISSIONER SRI MUKTSAR SAHIB,Smt Harsimrat Kaur Badal,BHATINDA,2026-08-11,Gurmel singh,Payment Success,20000.0
19921,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18356/2025-2026/169968,Karnataka,BELAGAVI,DEPUTY COMMISSIONER BELGAUM,PRIYANKA SATISH JARKIHOLI,CHIKKODI,2026-03-26,DEVARAJ BASAVANNI PASCHAPURE,Payment Success,124645.0
19922,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18356/2025-2026/169968,Karnataka,BELAGAVI,DEPUTY COMMISSIONER BELGAUM,PRIYANKA SATISH JARKIHOLI,CHIKKODI,2025-12-13,DEVARAJ BASAVANNI PASCHAPURE,Payment Success,375000.0
19923,Development of public parks,WS/MP18193/2024-2025/157146,Telangana,MEDCHAL MALKAJGIRI,DISTRICT COLLECTOR MEDCHAL MALKAJGIRI,EATALA RAJENDER,MALKAJGIRI,2025-12-18,THREESHAKTHI ENTERPRISES,Payment Success,1274258.0
19924,Construction of buildings for community cultural activities,WS/MP18087/2025-2026/178980,Karnataka,HAVERI,DEPUTY COMMISSIONER HAVERI,BASAVARAJ BOMMAI,HAVERI,2026-05-19,SANTOSH Y KAPSIKAR,Payment Success,249999.0
19925,Construction of buildings for community cultural activities,WS/MP18087/2025-2026/178988,Karnataka,HAVERI,DEPUTY COMMISSIONER HAVERI,BASAVARAJ BOMMAI,HAVERI,2026-05-19,SANTOSH Y KAPSIKAR,Payment Success,250049.0
19926,Construction of buildings for community cultural activities,WS/MP18087/2025-2026/178988,Karnataka,HAVERI,DEPUTY COMMISSIONER HAVERI,BASAVARAJ BOMMAI,HAVERI,2026-02-24,SANTOSH Y KAPSIKAR,Payment Success,749896.0
19927,Construction of buildings for community cultural activities,WS/MP18087/2025-2026/244471,Karnataka,HAVERI,DEPUTY COMMISSIONER HAVERI,BASAVARAJ BOMMAI,HAVERI,2026-05-07,SANTOSH Y KAPSIKAR,Payment Success,364005.0
19928,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18115/2025-2026/188849,Maharashtra,BHANDARA,DISTRICT COLLECTOR BHANDARA,DR. PRASHANT YADAORAO PADOLE,BHANDARA-GONDIYA,2026-02-20,GRAM PANCHAYAT LOBHI,Payment Success,1000000.0
19929,Construction of water tanks,WS/MP598/2024-2025/160928,Himachal Pradesh,SIRMAUR,DEPUTY COMMISSIONER SIRMOUR,Suresh Kumar Kashyap,SHIMLA (SC),2025-12-11,MOHAN SINGH,Payment Success,200000.0
19930,Construction of common work sheds/ common covered sitting area,WS/MP18064/2025-2026/150859,Haryana,KAITHAL,DC CUM NODAL OFFICERS MPLADS,NAVEEN JINDAL,KURUKSHETRA,2026-01-29,THE GAJUWALA SOLAN COOPERATIVE LABOUR AND CONSTRUCTION SOCIETY LTD,Payment Success,59012.0
19931,Construction of common work sheds/ common covered sitting area,WS/MP18064/2025-2026/150859,Haryana,KAITHAL,DC CUM NODAL OFFICERS MPLADS,NAVEEN JINDAL,KURUKSHETRA,2026-01-09,THE GAJUWALA SOLAN COOPERATIVE LABOUR AND CONSTRUCTION SOCIETY LTD,Payment Success,327844.0
19932,Providing drains and gutters for public drainage,WS/MP017/2025-2026/208477,Tamil Nadu,THIRUVALLUR,DISTRICT COLLECTOR TIRUVALLUR,S. Jagathrakshakan,ARAKKONAM,2025-12-08,D V VINOTH DAMU,Payment Success,999738.0
19933,Construction of rooms and halls in school and colleges,WS/MP341/2025-2026/215741,Karnataka,BENGALURU URBAN,DEPUTY COMMISSIONER BANGALORE URBAN,Shri LS Tejasvi Surya,BANGALORE SOUTH,2026-01-20,BRINDAVANA CONSTRUCTIONS,Payment Success,1125000.0
19934,Construction of rooms and halls in school and colleges,WS/MP341/2025-2026/195605,Karnataka,BENGALURU URBAN,DEPUTY COMMISSIONER BANGALORE URBAN,Shri LS Tejasvi Surya,BANGALORE SOUTH,2026-01-20,BRINDAVANA CONSTRUCTIONS,Payment Success,2250000.0
19935,Construction of rooms and halls in school and colleges,WS/MP18099/2025-2026/229968,Madhya Pradesh,BHOPAL,DISTRICT COLLECTOR BHOPAL,ALOK SHARMA,BHOPAL,2026-07-09,Gram Bharti Shiksha Samiti,Payment Success,270000.0
19936,Construction of rooms and halls in school and colleges,WS/MP18099/2025-2026/229968,Madhya Pradesh,BHOPAL,DISTRICT COLLECTOR BHOPAL,ALOK SHARMA,BHOPAL,2026-01-09,Gram Bharti Shiksha Samiti,Payment Success,630000.0
19937,Construction of community centers and community halls,WS/MP623/2025-2026/177672,Karnataka,VIJAYAPURA,DEPUTY COMMISSIONER BIJAPUR,Ramesh Chandappa Jigajinagi,BIJAPUR(SC),2026-04-15,ARJUN SOLAPURA,Payment Success,74109.0
19938,Construction of community centers and community halls,WS/MP623/2025-2026/177672,Karnataka,VIJAYAPURA,DEPUTY COMMISSIONER BIJAPUR,Ramesh Chandappa Jigajinagi,BIJAPUR(SC),2025-12-08,ARJUN SOLAPURA,Payment Success,225000.0
19939,Construction of buildings for crèches and anganwadies,WS/MP18082/2025-2026/191396,Karnataka,CHITRADURGA,DEPUTY COMMISSIONER CHITRADURGA,GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),2026-04-21,VEERESH G,Payment Success,97033.0
19940,Construction of buildings for community cultural activities,WS/MP18082/2025-2026/249135,Karnataka,CHITRADURGA,DEPUTY COMMISSIONER CHITRADURGA,GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),2025-12-06,VEERESH G,Payment Success,375000.0
19941,Construction of bus-sheds or bus-stops,WS/MP18082/2025-2026/191402,Karnataka,CHITRADURGA,DEPUTY COMMISSIONER CHITRADURGA,GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),2026-03-07,VEERESH G,Payment Success,375000.0
19942,Construction of buildings for community cultural activities,WS/MP18082/2025-2026/211821,Karnataka,CHITRADURGA,DEPUTY COMMISSIONER CHITRADURGA,GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),2026-03-07,VEERESH G,Payment Success,300000.0
19943,Construction of buildings for crèches and anganwadies,WS/MP18082/2025-2026/191396,Karnataka,CHITRADURGA,DEPUTY COMMISSIONER CHITRADURGA,GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),2025-12-29,VEERESH G,Payment Success,300000.0
19944,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18328/2025-2026/222410,Himachal Pradesh,MANDI,DEPUTY COMMISSIONER MANDI,Kangana Ranaut,MANDI,2025-12-05,Gram Panchayat Tikri Mushera,Payment Success,70000.0
19945,Construction of community centers and community halls,WS/MP18328/2025-2026/221896,Himachal Pradesh,MANDI,DEPUTY COMMISSIONER MANDI,Kangana Ranaut,MANDI,2025-12-05,Bhagat Singh Yuva Club,Payment Success,70000.0
19946,Construction of rooms and halls in school and colleges,WS/MP18310/2025-2026/200769,Odisha,BHADRAK,DISTRICT COLLECTOR BHADRAK,AVIMANYU SETHI,BHADRAK(SC),2025-12-13,BIJAY KUMAR BAHALI,Payment Success,500000.0
19947,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP18137/2025-2026/233766,Meghalaya,SOUTH WEST KHASI HILLS,DEPUTY COMMISSIONER SOUTH WEST KHASI HILLS MAWKRYWAT,ANDREW J. SYNGKON,SHILLONG,2025-12-09,NONGNAH SECONDARY SCHOOL,Payment Success,200000.0
19948,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP18137/2025-2026/233766,Meghalaya,SOUTH WEST KHASI HILLS,DEPUTY COMMISSIONER SOUTH WEST KHASI HILLS MAWKRYWAT,ANDREW J. SYNGKON,SHILLONG,2026-07-14,NONGNAH SECONDARY SCHOOL,Payment Success,200000.0
19949,Lighting of public spaces,WS/MP18047/2025-2026/207471,Chandigarh,CHANDIGARH,DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH,MANISH TEWARI,CHANDIGARH,2026-04-13,Venus Sales Corporation,Payment Success,87800.0
19950,Construction of community centers and community halls,WS/MP618/2024-2025/156173,Karnataka,BAGALKOTE,DEPUTY COMMISSIONER BAGALKOT,Parvatagouda Chandanagouda Gaddigoudar,BAGALKOT,2025-12-06,PAVANKUMAR RAMAPPA SHIRUR,Payment Success,375000.0
19951,Construction of community centers and community halls,WS/MP618/2024-2025/156173,Karnataka,BAGALKOTE,DEPUTY COMMISSIONER BAGALKOT,Parvatagouda Chandanagouda Gaddigoudar,BAGALKOT,2026-01-13,PAVANKUMAR RAMAPPA SHIRUR,Payment Success,123694.0
19952,Construction of rooms and halls in school and colleges,WS/MP18137/2025-2026/233007,Meghalaya,WEST JAINTIA HILLS,DEPUTY COMMISSIONER WEST JAINTIA HILLS JOWAI,ANDREW J. SYNGKON,SHILLONG,2026-01-29,LIMOS SAYOO,Payment Success,200000.0
19953,Construction of rooms and halls in school and colleges,WS/MP18137/2025-2026/233007,Meghalaya,WEST JAINTIA HILLS,DEPUTY COMMISSIONER WEST JAINTIA HILLS JOWAI,ANDREW J. SYNGKON,SHILLONG,2025-12-09,LIMOS SAYOO,Payment Success,200000.0
19954,Construction of community centers and community halls,WS/MP18118/2025-2026/252855,Maharashtra,NASHIK,DISTRICT COLLECTOR NASHIK,BHASKAR MURLIDHAR BHAGARE,DINDORI(ST),2026-02-24,MAYUR DINESH CHAVAN,Payment Success,995872.0
19955,Construction of community centers and community halls,WS/MP18118/2025-2026/252854,Maharashtra,NASHIK,DISTRICT COLLECTOR NASHIK,BHASKAR MURLIDHAR BHAGARE,DINDORI(ST),2026-07-01,MAYUR DINESH CHAVAN,Payment Success,998878.0
19956,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18118/2025-2026/188445,Maharashtra,NASHIK,DISTRICT COLLECTOR NASHIK,BHASKAR MURLIDHAR BHAGARE,DINDORI(ST),2026-01-08,MAYUR DINESH CHAVAN,Payment Success,999000.0
19957,Construction of community centers and community halls,WS/MP18118/2025-2026/188292,Maharashtra,NASHIK,DISTRICT COLLECTOR NASHIK,BHASKAR MURLIDHAR BHAGARE,DINDORI(ST),2025-12-23,MAYUR DINESH CHAVAN,Payment Success,998000.0
19958,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18118/2025-2026/188314,Maharashtra,NASHIK,DISTRICT COLLECTOR NASHIK,BHASKAR MURLIDHAR BHAGARE,DINDORI(ST),2025-12-23,MAYUR DINESH CHAVAN,Payment Success,699000.0
19959,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18118/2025-2026/252894,Maharashtra,NASHIK,DISTRICT COLLECTOR NASHIK,BHASKAR MURLIDHAR BHAGARE,DINDORI(ST),2026-07-16,MAYUR DINESH CHAVAN,Payment Success,698000.0
19960,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18064/2025-2026/186130,Haryana,KURUKSHETRA,DEPUTY COMMISSIONER KURUKSHETRA,NAVEEN JINDAL,KURUKSHETRA,2026-04-29,The Siddharth Cooperative Labour and Construction Society Limited,Payment Success,496096.0
19961,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP716/2025-2026/203950,Punjab,BATHINDA,DEPUTY COMMISSIONER BHATINDA,Smt Harsimrat Kaur Badal,BHATINDA,2026-04-13,Malwa Tile Industries Bathinda,Payment Success,186798.0
19962,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP716/2025-2026/203948,Punjab,BATHINDA,DEPUTY COMMISSIONER BHATINDA,Smt Harsimrat Kaur Badal,BHATINDA,2025-12-05,Malwa Tile Industries Bathinda,Payment Success,372443.0
19963,Construction of community centers and community halls,WS/MP756/2025-2026/171145,Tamil Nadu,PERAMBALUR,DISTRICT COLLECTOR PERAMBALUR,Thirumaa Valavan Thol,CHIDAMBARAM(SC),2025-12-06,MANIMARAN PERALI,Payment Success,1174038.0
19964,"Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",WS/MP18118/2025-2026/188318,Maharashtra,NASHIK,DISTRICT COLLECTOR NASHIK,BHASKAR MURLIDHAR BHAGARE,DINDORI(ST),2026-02-03,NUTAN DNYANESHWAR JADHAV,Payment Success,499000.0
19965,Street lights,WS/MP18137/2025-2026/233799,Meghalaya,WEST JAINTIA HILLS,DEPUTY COMMISSIONER WEST JAINTIA HILLS JOWAI,ANDREW J. SYNGKON,SHILLONG,2026-01-16,SENG SAMLA DONGIAWPYNGKAT LOCAL COMITTEE,Payment Success,200000.0
19966,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP423/2025-2026/201145,West Bengal,South 24 Parganas,DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS,Shri Abhishek Banerjee,DIAMOND HARBOUR,2025-12-30,S A H CONSTRUCTION,Payment Success,199976.0
19967,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP423/2025-2026/201143,West Bengal,South 24 Parganas,DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS,Shri Abhishek Banerjee,DIAMOND HARBOUR,2026-02-10,S A H CONSTRUCTION,Payment Success,177271.0
19968,Construction of public toilets and bathrooms,WS/MP384/2025-2026/180714,Rajasthan,BIKANER,DISTRICT COLLECTOR BIKANER,Shri Arjun Ram Meghwal,BIKANER(SC),2026-04-21,Crystal Enterprise,Payment Success,339662.0
19969,Development of playground,WS/MP18313/2025-2026/228990,Rajasthan,DUNGARPUR,DISTRICT COLLECTOR DUNGARPUR,RAJ KUMAR ROAT,BANSWARA(ST),2026-03-17,SARVAGYA CONSTRUCTION,Payment Success,481725.0
19970,Purchase of sports equipment,WS/MP18172/2025-2026/201304,Rajasthan,DUNGARPUR,DISTRICT COLLECTOR DUNGARPUR,MANNA LAL RAWAT,UDAIPUR(ST),2026-01-08,BHAIYAJI SPORTS AND STATIONARY,Payment Success,99000.0
19971,Purchase of sports equipment,WS/MP18172/2025-2026/201306,Rajasthan,DUNGARPUR,DISTRICT COLLECTOR DUNGARPUR,MANNA LAL RAWAT,UDAIPUR(ST),2026-01-08,BHAIYAJI SPORTS AND STATIONARY,Payment Success,99000.0
19972,Purchase of furniture and fixtures for educational purposes,WS/MP18313/2025-2026/239323,Rajasthan,DUNGARPUR,DISTRICT COLLECTOR DUNGARPUR,RAJ KUMAR ROAT,BANSWARA(ST),2026-01-15,BHOOMI ELECTRONICS AND HOME APPLIANCES,Payment Success,67000.0
19973,Purchase of furniture and fixtures for educational purposes,WS/MP18313/2025-2026/239323,Rajasthan,DUNGARPUR,DISTRICT COLLECTOR DUNGARPUR,RAJ KUMAR ROAT,BANSWARA(ST),2026-01-15,KHADI BHANDAR DUNGARPUR,Payment Success,479790.0
19974,Purchase of furniture and fixtures for educational purposes,WS/MP18313/2025-2026/239323,Rajasthan,DUNGARPUR,DISTRICT COLLECTOR DUNGARPUR,RAJ KUMAR ROAT,BANSWARA(ST),2026-01-15,KHADI BHANDAR DUNGARPUR,Payment Success,3210.0
19975,Construction of buildings for community cultural activities,WS/MP620/2025-2026/206399,Karnataka,DHARWAD,DEPUTY COMMISSIONER DHARWAR,Pralhad Venkatesh Joshi,DHARWAD,2025-12-06,Soumya Basavaraj Chikkaharakuni,Payment Success,397065.0
19976,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP18311/2025-2026/193422,Punjab,CHANDIGARH,DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH,MALVINDER SINGH KANG,ANANDPUR SAHIB,2025-12-08,INNOMATICS INFO PRIVATE LIMITED,Payment Success,644976.0
19977,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP18311/2025-2026/193422,Punjab,CHANDIGARH,DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH,MALVINDER SINGH KANG,ANANDPUR SAHIB,2025-12-16,INNOMATICS INFO PRIVATE LIMITED,Payment Success,149500.0
19978,Construction of boundary walls of existing public and community buildings,WS/MP18169/2025-2026/178509,Rajasthan,Beawar,DISTRICT COLLECTOR Beawar,MAHIMA KUMARI MEWAR,RAJSAMAND,2026-01-08,SHRI NAGNECHIYA MATA CONSTRUCTION,Payment Success,200428.0
19979,Construction of boundary walls of existing public and community buildings,WS/MP18169/2025-2026/178509,Rajasthan,Beawar,DISTRICT COLLECTOR Beawar,MAHIMA KUMARI MEWAR,RAJSAMAND,2025-12-05,SHRI NAGNECHIYA MATA CONSTRUCTION,Payment Success,390966.0
19980,Construction of boundary walls of existing public and community buildings,WS/MP18169/2025-2026/178509,Rajasthan,Beawar,DISTRICT COLLECTOR Beawar,MAHIMA KUMARI MEWAR,RAJSAMAND,2026-05-20,SHRI NAGNECHIYA MATA CONSTRUCTION,Payment Success,64032.0
19981,Construction of buildings for community cultural activities,WS/MP620/2025-2026/206423,Karnataka,DHARWAD,DEPUTY COMMISSIONER DHARWAR,Pralhad Venkatesh Joshi,DHARWAD,2026-01-02,Manjunath Mallappa Kittur,Payment Success,396249.0
19982,Construction of buildings for community cultural activities,WS/MP620/2025-2026/206406,Karnataka,DHARWAD,DEPUTY COMMISSIONER DHARWAR,Pralhad Venkatesh Joshi,DHARWAD,2025-12-20,Manjunath Mallappa Kittur,Payment Success,494776.0
19983,Construction of buildings for community cultural activities,WS/MP620/2025-2026/206425,Karnataka,DHARWAD,DEPUTY COMMISSIONER DHARWAR,Pralhad Venkatesh Joshi,DHARWAD,2025-12-20,Manjunath Mallappa Kittur,Payment Success,393893.0
19984,Street lights,WS/MP18354/2025-2026/177626,Chhattisgarh,SURGUJA,Collector Surguja,CHINTAMANI MAHARAJ,SARGUJA(ST),2025-12-03,Ghanshyam Das Agrawal,Payment Success,250000.0
19985,Street lights,WS/MP18354/2025-2026/177627,Chhattisgarh,SURGUJA,Collector Surguja,CHINTAMANI MAHARAJ,SARGUJA(ST),2025-12-03,Ghanshyam Das Agrawal,Payment Success,250000.0
19986,Street lights,WS/MP18354/2025-2026/177628,Chhattisgarh,SURGUJA,Collector Surguja,CHINTAMANI MAHARAJ,SARGUJA(ST),2025-12-03,Ghanshyam Das Agrawal,Payment Success,250000.0
19987,Street lights,WS/MP18354/2025-2026/177628,Chhattisgarh,SURGUJA,Collector Surguja,CHINTAMANI MAHARAJ,SARGUJA(ST),2025-12-03,Ghanshyam Das Agrawal,Payment Success,250000.0
19988,Street lights,WS/MP18354/2025-2026/177625,Chhattisgarh,SURGUJA,Collector Surguja,CHINTAMANI MAHARAJ,SARGUJA(ST),2025-12-03,Ghanshyam Das Agrawal,Payment Success,250000.0
19989,Providing drains and gutters for public drainage,WS/MP18311/2025-2026/183405,Punjab,HOSHIARPUR,DEPUTY COMMISSIONER HOSHIARPUR,MALVINDER SINGH KANG,ANANDPUR SAHIB,2026-01-07,Hardeep Singh,Payment Success,8579.0
19990,Providing drains and gutters for public drainage,WS/MP18311/2025-2026/183405,Punjab,HOSHIARPUR,DEPUTY COMMISSIONER HOSHIARPUR,MALVINDER SINGH KANG,ANANDPUR SAHIB,2025-12-23,Hardeep Singh,Payment Success,4000.0
19991,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18079/2025-2026/182437,Karnataka,BIDAR,DEPUTY COMMISSIONER BIDAR,SAGAR ESHWAR KHANDRE,BIDAR,2026-07-15,ABDUL MAJEED,Payment Success,225000.0
19992,Lighting of public spaces,WS/MP18079/2025-2026/210165,Karnataka,BIDAR,DEPUTY COMMISSIONER BIDAR,SAGAR ESHWAR KHANDRE,BIDAR,2026-01-05,ABDUL MAJEED,Payment Success,374250.0
19993,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18079/2025-2026/182435,Karnataka,BIDAR,DEPUTY COMMISSIONER BIDAR,SAGAR ESHWAR KHANDRE,BIDAR,2026-01-05,ABDUL MAJEED,Payment Success,371250.0
19994,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18220/2025-2026/227265,Uttar Pradesh,HATHRAS,DISTRICT MAGISTRATE HATHRAS,ANOOP PRADHAN BALMIKI,HATHRAS (SC),2026-01-23,HARSH VARDHAN SINGH SISODIA,Payment Success,637790.0
19995,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18220/2025-2026/227265,Uttar Pradesh,HATHRAS,DISTRICT MAGISTRATE HATHRAS,ANOOP PRADHAN BALMIKI,HATHRAS (SC),2025-12-06,HARSH VARDHAN SINGH SISODIA,Payment Success,1723642.0
19996,Construction of bus-sheds or bus-stops,WS/MP18314/2025-2026/219741,Punjab,SANGRUR,DEPUTY COMMISSIONER SANGRUR,GURMEET SINGH MEET HAYER,SANGRUR,2026-03-16,BANSAL BUILDING MATERIALS,Payment Success,31201.0
19997,Construction of bus-sheds or bus-stops,WS/MP18314/2025-2026/219741,Punjab,SANGRUR,DEPUTY COMMISSIONER SANGRUR,GURMEET SINGH MEET HAYER,SANGRUR,2026-03-16,BANSAL BUILDING MATERIALS,Payment Success,10500.0
19998,Construction of bus-sheds or bus-stops,WS/MP18314/2025-2026/219741,Punjab,SANGRUR,DEPUTY COMMISSIONER SANGRUR,GURMEET SINGH MEET HAYER,SANGRUR,2026-03-16,BANSAL BUILDING MATERIALS,Payment Success,20100.0
19999,Construction of bus-sheds or bus-stops,WS/MP18314/2025-2026/219741,Punjab,SANGRUR,DEPUTY COMMISSIONER SANGRUR,GURMEET SINGH MEET HAYER,SANGRUR,2026-03-16,BANSAL BUILDING MATERIALS,Payment Success,12600.0
20000,Construction of bus-sheds or bus-stops,WS/MP18314/2025-2026/219741,Punjab,SANGRUR,DEPUTY COMMISSIONER SANGRUR,GURMEET SINGH MEET HAYER,SANGRUR,2026-01-08,BANSAL BUILDING MATERIALS,Payment Success,30419.0
20001,Construction of bus-sheds or bus-stops,WS/MP18314/2025-2026/219741,Punjab,SANGRUR,DEPUTY COMMISSIONER SANGRUR,GURMEET SINGH MEET HAYER,SANGRUR,2026-01-08,BANSAL BUILDING MATERIALS,Payment Success,35100.0
20002,Construction of bus-sheds or bus-stops,WS/MP18314/2025-2026/219741,Punjab,SANGRUR,DEPUTY COMMISSIONER SANGRUR,GURMEET SINGH MEET HAYER,SANGRUR,2026-01-08,BANSAL BUILDING MATERIALS,Payment Success,22680.0
20003,Construction of bus-sheds or bus-stops,WS/MP18314/2025-2026/219741,Punjab,SANGRUR,DEPUTY COMMISSIONER SANGRUR,GURMEET SINGH MEET HAYER,SANGRUR,2026-01-08,BANSAL BUILDING MATERIALS,Payment Success,13440.0
20004,Construction of bus-sheds or bus-stops,WS/MP18314/2025-2026/219741,Punjab,SANGRUR,DEPUTY COMMISSIONER SANGRUR,GURMEET SINGH MEET HAYER,SANGRUR,2026-01-08,BANSAL BUILDING MATERIALS,Payment Success,4620.0
20005,Construction of bus-sheds or bus-stops,WS/MP18314/2025-2026/219741,Punjab,SANGRUR,DEPUTY COMMISSIONER SANGRUR,GURMEET SINGH MEET HAYER,SANGRUR,2026-03-16,SANDEEP KUMAR BKO,Payment Success,42000.0
20006,Construction of bus-sheds or bus-stops,WS/MP18314/2025-2026/219741,Punjab,SANGRUR,DEPUTY COMMISSIONER SANGRUR,GURMEET SINGH MEET HAYER,SANGRUR,2026-03-16,SANDEEP KUMAR BKO,Payment Success,11250.0
20007,Construction of rooms and halls in school and colleges,WS/MP18076/2025-2026/220461,Karnataka,Bengaluru South,DEPUTY COMMISSIONER RAMANAGARA,DR C N MANJUNATH,BANGALORE RURAL,2026-02-20,NAGARAJU,Payment Success,122312.0
20008,Construction of rooms and halls in school and colleges,WS/MP18076/2025-2026/220461,Karnataka,Bengaluru South,DEPUTY COMMISSIONER RAMANAGARA,DR C N MANJUNATH,BANGALORE RURAL,2025-12-12,NAGARAJU,Payment Success,367500.0
